sentence_lemma	sentence_token	index_lemma	index_token	lemma
bolagsstämma i wassmolösa med södra och norra mör härad branstodbolag $	Bolagsstämma i Wassmolösa med Södra och Norra Möre häraders branstodbolag . 	0	0	bolagsstmma
1874 för borås järn $ nådigst fastställa förnya bolagsordning samt i anledning af utaf aktieägare $ hvilka representera mera än 500 aktie $ därom gjordt yrkande $ varda delägame uti nämda bolag bärmed kalla till extra bolagsstämma sorn hålla ä rådhus här i stad torsdag den 16 januari 1896 med början $ 12 middag $ för öfverläggning angående väcka förslag om utläggning af bolag järnväg till normal spårvidd jämte däraf föranleda förändring $	1874 för Borås Järn vägs-aktiebolag nådigst fastställda förnyade bolagsordning samt i anledning af utaf aktieägare , hvilka representera mera än 500 aktier , därom gjordt yrkande , varda delägame uti nämda bolag bärmed kallade till extra bolagsstämma sorn hålles ä Rådhuset här i staden torsdagen den 16 Januari 1896 med början kl. 12 middagen , för öfverläggning angående väckt förslag om utläggning af bolagets järnväg till normal spårvidd jämte däraf föranledande förändringar . 	36	36	bolagsstmma
aktie kalla härmed till ordinarie bolagsstämma å stadshuset i lund onsdat $ $ $ gt $ ii den 12 juni $ lie $ lii $	aktieegare kallas härmed till ordinarie bolagsstämma å Stadshuset i Lund Onsdat ( ( & gt ; ii den 12 Juni kl. li f. lii . 	5	5	bolagsstmma
vid ordinarie bolagsstämma den 10 sistliden april besluta $ att för uppföran de af ny arbetarebostad skola utsläppa 200 $ $ ny aktie å 500 krona hvardera $	Vid ordinarie bolagsstämma den 10 sistlidne April beslöts , att för uppföran de af nya arbetarebostäder skulle utsläppas 200 . st. nya aktier å 500 kronor hvardera . 	2	2	bolagsstmma
upsala ångqvarn aktiebolag ha i dag på middag ordinarie bolagsstämma $ hvarvid samtlig förutvarande styrelsemedlem och revisor omvälja $	Upsala ångqvarns aktiebolag hade i dag på middagen ordinarie bolagsstämma , hvarvid samtliga förutvarande styrelsemedlemmar och revisorer omvaldes . 	9	9	bolagsstmma
kalla härmed till ordinarie bolagsstämma å hotell witt härstädes fredag den 14 nästa mars $ 5 $ $ o $ kalmar den 24 februari 1902 $	kallas härmed till ordinarie bolagsstämma å Hotell Witt härstädes fredagen den 14 nästa mars kl. 5 , » o e.m. Kalmar den 24 februari 1902 . 	4	4	bolagsstmma
1 50 4 i $ en vid dag bolagsstämma besluta utdelning för 1894 långeds aktiebolag af kr $	1 50 4 I ) en vid dagens bolagsstämma beslutade utdelningen för 1894 Långeds Aktiebolag af Kr . 	8	8	bolagsstmma
föreslå en resolution af ungefär den lydelse $ att $ bolagsstämma tacksam godkänna styrelse åtgärd och uppdra åt styrelse att utan särskild bolagsstämma hörande anskaffa nödig medel för arbete påbörja $ så snar koncession erhålla $ $	föreslog en resolution af ungefär den lydelse , att » bolagsstämman tacksamt godkänner styrelsens åtgärder och uppdrager åt styrelsen att utan särskild bolagsstämmas hörande anskaffa nödiga medel för arbetets påbörjande , så snart koncession erhållits » . 	10	10	bolagsstmma
hålla extra bolagsstämma å hushållningssällskap lokal i kalmar fredag den 26 nästa oktober klocka tio $ för slutlig behandling af den från år ordinarie bolagsstämma hvilande $ då anta förslag om ändring i $ 12 i bolagsordning till inrättande af en industriklass i bolag $	hålles extra bolagsstämma å Hushållningssällskapets lokal i Kalmar fredagen den 26 nästa oktober klockan tio f.m. för slutlig behandling af det från årets ordinarie bolagsstämma hvilande , då antagna förslag om ändring i § 12 i bolagsordningen till inrättande af en industriklass i bolaget . 	2	2	bolagsstmma
malmö sockerfabriks aktiebolag i arlöf besluta på ordinarie bolagsstämma i måndag en utdelning af 6 proc $	Malmö sockerfabriks aktiebolag i Arlöf beslöt på ordinarie bolagsstämma i måndags en utdelning af 6 proc . 	8	8	bolagsstmma
x oersners boktryckeriaktiebolag ha i lördag ordinarie bolagsstämma å hotel rydberg $	X oersners boktryckeriaktiebolag hade i lördags ordinarie bolagsstämma å Hotel Rydberg . 	7	7	bolagsstmma
kalla härmed till ordinarie bolagsstämma å valand torsdag den 21 denna $ 1 på dag $	kallas härmed till ordinarie bolagsstämma å Valand Torsdagen den 21 dennes kl. 1 på dagen . 	4	4	bolagsstmma
bolagsstämma med veddö teaterhusbolag hålla i lördag $ m $ $ hvarvid följa ärende förekommo $ 1 $ föredragning af bolag räkenskaper för sistliden år och den vid granskning af densamma afgifna revisionsberättelse $ med anledning hvaraf ansvarsfrihet för sistliden år blef direktion bevilja $ 2 $ val $ af direktion $ hvarvid densamma med suppleant återvälja $ af revisor $ hvartill välja kassör sandström $ rektor cederschiöld och doktor wittlock $ 3 $ örn bolag ombildning från en solidarisk bolag till en aktiebolag $	Bolagsstämma med Veddö teaterhusbolag hölls i lördags e. m . , hvarvid följande ärenden förekommo : 1 ) Föredragning af bolagets räkenskaper för sistlidet år och den vid granskning af desamma afgifna revisionsberättelsen , med anledning hvaraf ansvarsfrihet för sistlidet år blef direktionen beviljad ; 2 ) val : af direktion , hvarvid densamma med suppleanter återvaldes ; af revisorer , hvartill valdes kassör Sandström , rektor Cederschiöld och doktor Wittlock ; 3 ) Örn bolagets ombildning från ett solidariskt bolag till ett aktiebolag . 	0	0	bolagsstmma
aktie uti aktiebolag kalmar pantbank kalla till ordinarie bolagsstämma i riksbank ombudsmansexpedition onsdag den 1 nästkom mande april $ $ 5 $ 41 kalmar den 14 mars 1896 $	Aktieegarne uti Aktiebolaget Kalmar Pantbank kallas till ordinarie bolagsstämma i riksbankens ombudsmansexpedition onsdagen den 1 nästkom mande april , kl. 5 e.m. 41 Kalmar den 14 mars 1896 . 	8	8	bolagsstmma
kalla härmed till ordinarie bolagsstämma å hotel eggers härstädes $ onsdag den 20 nov $	kallas härmed till ordinarie bolagsstämma å Hotel Eggers härstädes , onsdagen den 20 Nov . 	4	4	bolagsstmma
att föra kommun talan å ordinarie bolagsstämma med västerdalarnes tele fonaktiebolag utsago handlande lars eriksson och mor olof olsson $ åt hvilka tillika uppdra att inom stadga tid till bolag styrelse inkomma med begäran $ att bolagsstämma må till behandling uppta af järna kommun väcka fråga örn nedsättning i telefon mellan en del af järna socken $ som höra under järna telefoncentral i myrbacka $ och vansbro samt inom socken ligga del under vansbro central $	Att föra kommunens talan å ordinarie bolagsstämman med Västerdalarnes tele fonaktiebolag utsagos handlandena Lars Eriksson och Mor Olof Olsson , åt hvilka tillika uppdrogs att inom stadgad tid till bolagets styrelse inkomma med begäran , att bolagsstämman måtte till behandling upptaga af Järna kommun väckt fråga örn nedsättning i telefonafgiften mellan de delar af Järna socken , som höra under Järna telefoncentral i Myrbacka , och Vansbro samt inom socknen liggande delar under Vansbro central . 	6	6	bolagsstmma
att uppskjuta fråga örn restera vitesbelopp erläggande till nästa bolagsstämma $	att uppskjuta frågan örn resterande vitesbeloppets erläggande till nästa bolagsstämma . 	9	9	bolagsstmma
dörr $ så att man direkt från drottning privatrum kunna komma ut till den bolag för trädgård och park anläggning i lund ha i $ $ m $ or veranda $ som skola uppsätta på gårdeuldinarie bolagsstämma $ hvarvid förbandlinintill byggning $	dörr , så att man direkt från drottningens privatrum kan komma ut till den Bolaget för trädgårds- och park anläggning i Lund hade i går e. m . or veranda , som skall uppsättas på gårdeuldinarie bolagsstämma , hvarvid förbandlinintill byggningen . 	36	36	bolagsstmma
kalla härmed till ordinarie bolagsstämma $ som hålla i $ 7 kalendegatan i malmö torsdag den elfte $ lie $ april $ lie $ m $ $ därvid förekomma fråga örn bolag upplösning $	kallas härmed till ordinarie bolagsstämma , som hålles i n:r 7 Kalendegatan i Malmö torsdagen den elfte ( li ) april kl. li f. m . , därvid förekommer fråga örn bolagets upplösning . 	4	4	bolagsstmma
tor bolagsstämma $ sammanträde $ $ skåne $ småland jernväg saktiebolag	tor bolagsstämmor , sammanträden o. dyl. Skåne - Smålands jernväg saktiebolag 	1	1	bolagsstmma
till disponent vid strömsnäs jernverk aktiebolag ha i dag å bolagsstämma vid degerfors ingeniör ernst odelberg vid lesjöfors blifvit välja $	Till disponent vid Strömsnäs jernverks aktiebolag har i dag å bolagsstämma vid Degerfors ingeniören Ernst Odelberg vid Lesjöfors blifvit vald . 	10	10	bolagsstmma
hrr aktieegaro uti reinholds ångbageri $ konditoriaktiebolag kalla härmed till ordinarie bolagsstämma lördagi n den 26 januari 1896 $ $ $ vi $ m $ å bo $ kontor $	Hrr Aktieegaro uti Reinholds Ångbageri- & KonditoriAktiebolag kallas härmed till ordinarie bolagsstämma Lördagi n den 26 Januari 1896 kl. ' / Vi e. m . å bo !aneta kontor . 	11	11	bolagsstmma
källås härmed till ordinarie bolagsstämma å valand torsdag den 21 denna $ 1 på dag $	källås härmed till ordinarie bolagsstämma å Valand Torsdagen den 21 dennes kl. 1 på dagen . 	4	4	bolagsstmma
llolens sägverksaktiebolags första ordinarie bolagsstämma hålla i kommunalsal i orsa den 27 sistl april under ordförandeskap af kommunalnämdsordf $	llolens sägverksaktiebolags första ordinarie bolagsstämma hölls i kommunalsalen i Orsa den 27 sistL april under ordförandeskap af kommunalnämdsordf . 	4	4	bolagsstmma
uti karpalunds sockerfabriks aktiebolag kalla härigenom till extra bolagsstämma i kontorsbygnaden vid karpalund måndag den 28 oktober 1895 $ 1 $ m $ för att besluta örn åtgärd vidtagande i anledning däraf $ att bolag fabrik blifvit förstöra genom eldsvåda $	uti Karpalunds Sockerfabriks Aktiebolag kallas härigenom till extra bolagsstämma i kontorsbygnaden vid Karpalund måndagen den 28 oktober 1895 kl. 1 e. m . för att besluta örn åtgärders vidtagande i anledning däraf , att bolagets fabrik blifvit förstörd genom eldsvåda . 	8	8	bolagsstmma
fråga om hvem $ som bli chef för finspong $ kunna icke definitiv afgöra annan än af en ordinarie bolagsstämma $ men vi tro vi veta $ skrifver tidning $ att underhandling blifvit inleda med finspongs nuvarande $ disponent $ hr axel ekman $ att fortfarande hafva ledning om hand $	Frågan om hvem , som blir chef för Finspong , kan icke definitivt afgöras annat än af en ordinarie bolagsstämma , men vi tro oss veta , skrifver tidningen , att underhandlingar blifvit inledda med Finspongs nuvarande ’ disponent , hr Axel Ekman , att fortfarande hafva ledningen om hand . 	19	19	bolagsstmma
aktie i köping mekanisk verkstad aktiebolag kalla härmed till ordinarie bolagsstämma i hus m 27 liten nygatan i stockholm torsdag den 25 april 1895 $ 3 $ m $	Aktieegare i Köpings Mekaniska Verkstads Aktiebolag kallas härmed till ordinarie bolagsstämma i huset M 27 Lilla Nygatan i Stockholm Torsdagen den 25 April 1895 kl. 3 e. m . 	10	10	bolagsstmma
ordinarie bolagsstämma hålla i bollnäs örn lördag den 31 $ $ $ m $	Ordinarie bolagsstämma hålles i Bollnäs örn lördag den 31 kl. 1,45 e. m . 	1	1	bolagsstmma
helsingborg $ hehleholms järnwägsaktiebolag ha pä extra bolagsstämma i gär utan diskussion definitiv beslntit att teckna aktie sör $ kr $	Helsingborg — Hehleholms järnwägsaktiebolag har pä extra bolagsstämma i gär utan diskussion definitivt beslntit att teckna aktier sör 300,000 kr . 	7	7	bolagsstmma
hvilket åderlåtningarne bära $ torde emellertid vala il häste mästare på rik lom oceanångare bolag $ tingvalla $ håde i tisdag sig bolagsstämma $ på hvilken upplysa $ att förlust år 1894 uppgå lill kr $	hvilket åderlåtningarne bäras , torde emellertid vala ilen häste mästaren på rike lomarne Oceanångare bolaget ” Tingvalla ” håde i tisdags sin bolagsstämma , på hvilken upplystes , att förlusten år 1894 uppgick lill kr . 	22	22	bolagsstmma
